block,condition,pool,arch,light,rate,achieved_mean,achieved_min,achieved_max,achieved_ratio_mean_pct,p50_mean_ms,p95_mean_ms,p99_mean_ms,p99_min_ms,p99_max_ms,api_cpu_mean_pct,api_cap_share_mean_pct,db_cpu_mean_pct,db_throttle_mean_pct,reps,source_session
보정 전,gRPC,20:20,grpc,0,1000,974.5611,963.8,987.0333,97.45611,52.69483333333333,404.4031,568.8425000000001,492.9384,610.601,198.23403333333331,96.66666666666667,133.2479,2.8166666666666664,3,exp_de_cap_20260918_0345
보정 전,gRPC,20:20,grpc,0,1100,970.3721999999999,961.4,987.5833,88.21565454545454,70.3643,481.2517,613.8445333333334,604.7381,618.7449,197.59376666666665,97.77777777777777,130.85533333333333,2.026666666666667,3,exp_de_cap_20260918_0345
보정 전,gRPC,20:20,grpc,0,1200,976.2889,970.6667,986.5167,81.35740833333334,70.9829,480.5162,611.7908666666667,607.7942,614.6205,198.17763333333335,97.22222222222223,131.35406666666665,3.236666666666667,3,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,800,800.0111333333334,800.0,800.0167,100.00139166666668,0.5555333333333333,5.027333333333334,27.04303333333333,22.7624,30.7212,196.51203333333333,97.77777777777777,126.57963333333333,0.056666666666666664,3,exp_de_20260916_1154
보정 전,REST,50:50,rest,0,900,900.0111333333334,900.0,900.0167,100.00123703703704,1.5137999999999998,29.96926666666667,61.9324,59.9809,63.301,199.00900000000001,96.11111111111113,148.62816666666666,5.883333333333333,3,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,1000,992.6889,978.1333,1000.0167,99.26889,33.071,264.88326666666666,375.47299999999996,305.6774,510.1226,198.26253333333332,94.44444444444444,147.04343333333335,11.090000000000002,3,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,1100,1010.3555666666666,995.6,1020.15,91.85050606060605,76.16903333333333,405.6295333333333,562.3541,528.1313,584.5106,197.5821,92.77777777777777,142.58169999999998,10.05,3,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,1200,1013.1555666666667,1001.4167,1025.3667,84.42963055555556,77.26313333333333,409.0514666666666,583.8858,575.9049,589.9293,197.76893333333336,94.44444444444444,144.25993333333335,10.423333333333334,3,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,800,799.9833333333332,799.9333,800.0167,99.99791666666665,24.356566666666666,130.9908,195.03686666666667,115.4069,299.5976,198.1235,94.44444444444444,154.18726666666666,15.726666666666667,3,exp_de_20260916_1154
보정 전,GraphQL,50:50,graphql,0,900,816.1555666666667,805.5833,821.9167,90.68395185185184,99.29790000000001,491.09386666666666,605.9915333333333,602.6033,610.9506,197.9072666666667,93.33333333333333,143.14416666666668,13.433333333333332,3,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,1000,817.0333333333333,811.0,820.5833,81.70333333333333,99.85833333333333,493.60116666666664,608.0495333333333,606.8709,609.0106,199.01146666666668,95.0,142.99736666666666,11.566666666666668,3,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,1100,809.2833333333333,781.8333,824.6,73.57121212121211,100.27346666666666,496.6469666666667,640.9239333333334,606.6426,709.3152,197.80409999999998,93.88888888888887,140.0708,10.706666666666665,3,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,1200,812.3166666666666,789.45,827.35,67.69305555555555,100.39436666666667,496.6911,641.8172666666666,608.7313,707.3412,199.78363333333334,93.88888888888887,141.74636666666666,11.846666666666666,3,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,800,800.0111333333334,800.0,800.0167,100.00139166666668,1.1603333333333332,18.8177,54.04843333333333,48.6718,59.1954,200.01246666666665,98.33333333333333,132.22943333333333,0.7233333333333333,3,exp_de_20260916_1154
보정 전,gRPC,50:50,grpc,0,900,894.9167000000001,884.7167,900.0167,99.4351888888889,2.1718333333333333,73.1921,223.67946666666668,105.6025,380.2716,196.94606666666667,95.0,147.91173333333333,10.280000000000001,3,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,1000,978.8666333333334,961.8833,992.0333,97.88666333333335,33.582633333333334,264.5722666666667,431.77153333333337,313.7686,514.7227,197.65,92.22222222222221,152.8669,20.75,3,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,1100,936.5666666666666,902.65,960.0167,85.14242424242424,81.33800000000001,414.9183333333333,603.2451666666667,584.0932,631.5701,197.16066666666666,91.1111111111111,134.94899999999998,13.603333333333333,3,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,1200,967.1611333333334,962.6,970.0667,80.59676111111112,81.41126666666666,410.0499333333333,589.1947,587.828,589.9727,199.17466666666667,91.66666666666667,140.44603333333333,14.433333333333332,3,exp_de_cap_20260918_0345
