block,condition,pool,arch,light,rate_x,achieved_mean,achieved_min,achieved_max,achieved_ratio_pct,p99_mean_ms,api_cpu_mean_pct,api_cap_share_pct,db_cpu_mean_pct,db_cap_share_pct,db_throttle_mean_pct,source_session
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,1000,939.8333666666667,934.3167,944.5667,93.98333666666667,611.2012333333333,197.9923666666667,93.33333333333333,130.52276666666668,0.0,9.396666666666667,exp_de_caph2_20260918_1436
보정 조건,GraphQL light (19쿼리),50:50,graphql,1,1100,944.4110999999999,923.5333,956.7,85.85555454545454,630.9938666666667,199.22343333333333,93.33333333333333,129.7302,0.0,9.003333333333332,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,800,800.0,800.0,800.0,100.0,104.72766666666666,196.90723333333335,94.44444444444444,153.04913333333332,0.0,17.923333333333332,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,900,833.8333333333334,822.05,840.4167,92.64814814814815,598.7175333333333,197.42283333333333,94.44444444444444,141.09766666666667,0.0,13.153333333333334,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,1000,835.6777666666667,830.5,842.7,83.56777666666667,601.1881,199.13196666666667,94.44444444444444,139.7254,0.0,13.92,exp_de_caph2_20260918_1436
보정 조건,GraphQL 기존 (24쿼리),50:50,graphql,0,1100,838.8389000000001,831.9,852.5,76.25808181818182,603.0699333333333,198.38616666666667,94.44444444444444,138.62216666666666,0.0,12.876666666666667,exp_de_caph2_20260918_1436
보정 전,REST,20:20,rest,0,640,640.0018666666666,640.0,640.0056,100.00029166666667,2.477133333333333,156.9231333333333,0.0,88.85693333333332,0.0,0.0,exp_de_20260916_1154
보정 전,REST,20:20,rest,0,800,800.0111333333334,800.0,800.0167,100.00139166666668,41.0773,198.67926666666668,97.77777777777777,127.11796666666667,0.0,0.0,exp_de_20260916_1154
보정 전,REST,20:20,rest,0,900,900.0222333333332,900.0,900.0667,100.00247037037036,183.12096666666665,198.0665333333333,96.66666666666667,141.7274,0.0,1.4400000000000002,exp_de_cap_20260918_0345
보정 전,REST,20:20,rest,0,1000,966.8833333333333,958.3667,973.2,96.68833333333333,609.3517666666667,198.07006666666666,97.77777777777777,134.4022666666667,0.0,0.6533333333333333,exp_de_cap_20260918_0345
보정 전,REST,20:20,rest,0,1100,965.4833333333332,963.8833,967.55,87.77121212121212,616.3345,197.99703333333332,97.22222222222223,133.99436666666668,0.0,0.5466666666666666,exp_de_cap_20260918_0345
보정 전,REST,20:20,rest,0,1200,968.6111000000001,948.4167,984.6333,80.71759166666668,635.9694,200.09336666666664,97.22222222222223,135.71220000000002,0.0,1.2566666666666666,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,640,640.0074333333333,640.0056,640.0111,100.00116145833333,8.3865,190.02236666666667,55.74074074074074,109.73823333333333,0.0,0.07666666666666666,exp_de_20260916_1154
보정 전,GraphQL,20:20,graphql,0,800,784.5444333333334,776.9167,795.1833,98.06805416666667,654.8181333333333,199.21326666666667,98.33333333333333,137.2605333333333,0.0,2.46,exp_de_20260916_1154
보정 전,GraphQL,20:20,graphql,0,900,787.2722333333335,781.5333,795.9167,87.4746925925926,686.7656666666667,197.92759999999998,95.0,134.8039,0.0,0.5466666666666667,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,1000,777.3944333333334,763.85,785.2833,77.73944333333334,697.2815666666667,199.18296666666666,98.88888888888887,134.47263333333333,0.0,0.16333333333333333,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,1100,779.6,772.1333,791.55,70.87272727272727,692.6423,197.72026666666667,97.77777777777777,133.32013333333336,0.0,0.21333333333333335,exp_de_cap_20260918_0345
보정 전,GraphQL,20:20,graphql,0,1200,780.2444333333333,774.4167,788.9833,65.02036944444444,697.0684333333334,197.1852,96.1111111111111,133.2992,0.0,0.3833333333333333,exp_de_cap_20260918_0345
보정 전,gRPC,20:20,grpc,0,640,640.0018666666666,640.0,640.0056,100.00029166666667,4.1649,188.54723333333334,45.925925925925924,92.3021,0.0,0.056666666666666664,exp_de_20260916_1154
보정 전,gRPC,20:20,grpc,0,800,800.0222333333335,800.0167,800.0333,100.00277916666668,68.69,198.97893333333332,97.77777777777777,129.2031,0.0,0.8366666666666666,exp_de_20260916_1154
보정 전,gRPC,20:20,grpc,0,900,898.3333666666667,896.4667,900.0167,99.81481851851852,212.01533333333336,196.6618,95.0,142.62153333333333,0.0,4.056666666666667,exp_de_cap_20260918_0345
보정 전,gRPC,20:20,grpc,0,1000,974.5611,963.8,987.0333,97.45611,568.8425000000001,198.23403333333331,96.66666666666667,133.2479,0.0,2.8166666666666664,exp_de_cap_20260918_0345
보정 전,gRPC,20:20,grpc,0,1100,970.3721999999999,961.4,987.5833,88.21565454545454,613.8445333333334,197.59376666666665,97.77777777777777,130.85533333333333,0.0,2.026666666666667,exp_de_cap_20260918_0345
보정 전,gRPC,20:20,grpc,0,1200,976.2889,970.6667,986.5167,81.35740833333334,611.7908666666667,198.17763333333335,97.22222222222223,131.35406666666665,0.0,3.236666666666667,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,640,640.0037333333333,640.0,640.0056,100.00058333333332,2.7297333333333333,157.47483333333332,0.0,89.53853333333332,0.0,0.35000000000000003,exp_de_20260916_1154
보정 전,REST,50:50,rest,0,800,800.0111333333334,800.0,800.0167,100.00139166666668,27.04303333333333,196.51203333333333,97.77777777777777,126.57963333333333,0.0,0.056666666666666664,exp_de_20260916_1154
보정 전,REST,50:50,rest,0,900,900.0111333333334,900.0,900.0167,100.00123703703704,61.9324,199.00900000000001,96.11111111111113,148.62816666666666,0.0,5.883333333333333,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,1000,992.6889,978.1333,1000.0167,99.26889,375.47299999999996,198.26253333333332,94.44444444444444,147.04343333333335,0.0,11.090000000000002,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,1100,1010.3555666666666,995.6,1020.15,91.85050606060605,562.3541,197.5821,92.77777777777777,142.58169999999998,0.0,10.05,exp_de_cap_20260918_0345
보정 전,REST,50:50,rest,0,1200,1013.1555666666667,1001.4167,1025.3667,84.42963055555556,583.8858,197.76893333333336,94.44444444444444,144.25993333333335,0.0,10.423333333333334,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,640,640.0037333333333,640.0,640.0056,100.00058333333332,6.306466666666666,190.9946,66.48148148148148,110.44663333333334,0.0,0.02,exp_de_20260916_1154
보정 전,GraphQL,50:50,graphql,0,800,799.9833333333332,799.9333,800.0167,99.99791666666665,195.03686666666667,198.1235,94.44444444444444,154.18726666666666,0.0,15.726666666666667,exp_de_20260916_1154
보정 전,GraphQL,50:50,graphql,0,900,816.1555666666667,805.5833,821.9167,90.68395185185184,605.9915333333333,197.9072666666667,93.33333333333333,143.14416666666668,0.0,13.433333333333332,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,1000,817.0333333333333,811.0,820.5833,81.70333333333333,608.0495333333333,199.01146666666668,95.0,142.99736666666666,0.0,11.566666666666668,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,1100,809.2833333333333,781.8333,824.6,73.57121212121211,640.9239333333334,197.80409999999998,93.88888888888887,140.0708,0.0,10.706666666666665,exp_de_cap_20260918_0345
보정 전,GraphQL,50:50,graphql,0,1200,812.3166666666666,789.45,827.35,67.69305555555555,641.8172666666666,199.78363333333334,93.88888888888887,141.74636666666666,0.0,11.846666666666666,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,640,640.0056,640.0056,640.0056,100.000875,3.8427333333333333,189.37166666666667,58.333333333333336,93.2654,0.0,0.29333333333333333,exp_de_20260916_1154
보정 전,gRPC,50:50,grpc,0,800,800.0111333333334,800.0,800.0167,100.00139166666668,54.04843333333333,200.01246666666665,98.33333333333333,132.22943333333333,0.0,0.7233333333333333,exp_de_20260916_1154
보정 전,gRPC,50:50,grpc,0,900,894.9167000000001,884.7167,900.0167,99.4351888888889,223.67946666666668,196.94606666666667,95.0,147.91173333333333,0.0,10.280000000000001,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,1000,978.8666333333334,961.8833,992.0333,97.88666333333335,431.77153333333337,197.65,92.22222222222221,152.8669,0.5555555555555556,20.75,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,1100,936.5666666666666,902.65,960.0167,85.14242424242424,603.2451666666667,197.16066666666666,91.1111111111111,134.94899999999998,0.0,13.603333333333333,exp_de_cap_20260918_0345
보정 전,gRPC,50:50,grpc,0,1200,967.1611333333334,962.6,970.0667,80.59676111111112,589.1947,199.17466666666667,91.66666666666667,140.44603333333333,0.0,14.433333333333332,exp_de_cap_20260918_0345
